"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 22, 2021","36.60","37.31","37.67","35.96","46.32M","-6.73%"
"Oct 21, 2021","39.24","40.89","41.94","38.80","33.33M","-4.01%"
"Oct 20, 2021","40.88","40.65","41.75","40.30","31.09M","0.20%"
"Oct 19, 2021","40.80","42.96","44.44","40.74","52.10M","-5.18%"
"Oct 18, 2021","43.03","40.79","43.63","40.49","49.79M","5.62%"
"Oct 15, 2021","40.74","40.20","41.79","39.78","46.52M","1.67%"
"Oct 14, 2021","40.07","37.80","41.10","37.75","67.38M","5.70%"
"Oct 13, 2021","37.91","36.72","38.15","36.12","33.48M","2.96%"
"Oct 12, 2021","36.82","37.25","37.57","36.22","25.02M","-1.15%"
"Oct 11, 2021","37.25","36.85","38.66","36.30","37.15M","0.16%"
"Oct 08, 2021","37.19","37.92","38.78","37.06","29.64M","-2.49%"
"Oct 07, 2021","38.14","36.78","38.55","36.60","37.52M","3.56%"
"Oct 06, 2021","36.83","36.36","37.65","35.64","35.24M","-0.62%"
"Oct 05, 2021","37.06","36.86","38.10","36.19","37.70M","0.79%"
"Oct 04, 2021","36.77","38.90","39.03","36.33","39.72M","-4.39%"
"Oct 01, 2021","38.46","39.41","40.13","37.75","65.92M","1.05%"
"Sep 30, 2021","38.06","35.19","41.78","33.74","101.15M","7.09%"
"Sep 29, 2021","35.54","37.25","38.26","35.37","42.42M","-3.92%"
"Sep 28, 2021","36.99","38.90","39.13","36.88","39.12M","-5.88%"
"Sep 27, 2021","39.30","40.12","40.63","39.21","30.89M","-1.77%"
"Sep 24, 2021","40.01","39.81","40.52","39.25","32.56M","0.08%"
"Sep 23, 2021","39.98","41.06","41.85","39.85","40.88M","-0.25%"
"Sep 22, 2021","40.08","38.50","40.57","37.74","51.95M","3.25%"
"Sep 21, 2021","38.82","40.97","41.49","37.65","64.14M","-3.65%"
"Sep 20, 2021","40.29","41.95","43.33","38.53","70.32M","-8.85%"
"Sep 17, 2021","44.20","46.10","46.38","44.20","68.73M","-4.00%"
"Sep 16, 2021","46.04","46.48","48.69","45.95","56.76M","-1.71%"
"Sep 15, 2021","46.84","46.43","47.74","43.77","75.98M","-0.97%"
"Sep 14, 2021","47.30","50.90","51.55","46.96","65.52M","-8.49%"
"Sep 13, 2021","51.69","51.82","52.79","50.35","74.66M","3.05%"
"Sep 10, 2021","50.16","49.15","51.70","48.95","90.15M","3.38%"
"Sep 09, 2021","48.52","46.23","49.00","45.36","85.38M","2.36%"
"Sep 08, 2021","47.40","47.03","49.40","45.73","96.18M","-0.90%"
"Sep 07, 2021","47.83","45.00","47.93","44.88","101.28M","8.66%"
"Sep 03, 2021","44.02","43.54","44.80","42.47","52.21M","-0.81%"
"Sep 02, 2021","44.38","43.87","44.90","42.37","67.65M","1.58%"
"Sep 01, 2021","43.69","47.16","47.85","43.05","82.18M","-7.30%"
"Aug 31, 2021","47.13","44.16","47.16","44.05","124.73M","8.77%"
"Aug 30, 2021","43.33","41.78","45.71","41.28","107.84M","6.10%"
"Aug 27, 2021","40.84","40.01","41.58","39.39","72.51M","1.31%"
"Aug 26, 2021","40.31","42.79","44.78","40.07","108.84M","-8.30%"
"Aug 25, 2021","43.96","44.90","48.30","43.17","208.27M","-0.68%"
"Aug 24, 2021","44.26","37.19","48.20","36.35","223.65M","20.34%"
"Aug 23, 2021","36.78","35.03","37.93","34.40","74.92M","6.89%"
"Aug 20, 2021","34.41","33.90","34.60","32.20","55.43M","1.74%"
"Aug 19, 2021","33.82","36.59","36.78","33.33","47.52M","-7.47%"
"Aug 18, 2021","36.55","37.32","38.70","36.49","57.61M","-1.64%"
"Aug 17, 2021","37.16","34.99","38.78","34.59","86.24M","4.12%"
"Aug 16, 2021","35.69","33.85","36.18","32.71","86.25M","6.63%"
"Aug 13, 2021","33.47","32.20","34.48","31.88","57.99M","1.21%"
"Aug 12, 2021","33.07","30.91","34.10","30.75","70.58M","4.82%"
"Aug 11, 2021","31.55","31.58","31.91","29.40","68.28M","-0.63%"
"Aug 10, 2021","31.75","36.91","37.06","31.46","116.18M","-6.07%"
"Aug 09, 2021","33.80","32.70","35.35","32.38","81.05M","3.36%"
"Aug 06, 2021","32.70","33.42","33.58","31.57","52.86M","-2.42%"
"Aug 05, 2021","33.51","31.11","34.09","28.93","108.57M","12.30%"
"Aug 04, 2021","29.84","34.43","35.24","29.81","83.83M","-11.16%"
"Aug 03, 2021","33.59","35.04","35.04","32.80","61.74M","-4.57%"
"Aug 02, 2021","35.20","37.52","38.48","35.03","59.06M","-4.92%"
"Jul 30, 2021","37.02","37.54","39.19","36.79","53.00M","-2.91%"
"Jul 29, 2021","38.13","38.00","40.25","37.47","58.96M","-1.98%"
"Jul 28, 2021","38.90","37.40","39.54","36.11","71.02M","2.34%"
"Jul 27, 2021","38.01","39.80","40.30","37.09","55.29M","-5.66%"
"Jul 26, 2021","40.29","38.45","40.77","37.59","97.98M","8.92%"
"Jul 23, 2021","36.99","37.78","38.40","34.69","85.47M","-0.67%"
"Jul 22, 2021","37.24","40.16","41.74","37.15","93.99M","-8.68%"
"Jul 21, 2021","40.78","41.80","46.55","40.11","158.02M","-5.36%"
"Jul 20, 2021","43.09","35.14","44.39","35.13","168.67M","24.47%"
"Jul 19, 2021","34.62","32.95","35.34","31.15","112.89M","-0.97%"
"Jul 16, 2021","34.96","37.83","38.55","34.30","126.83M","-2.89%"
"Jul 15, 2021","36.00","32.30","37.38","32.30","199.58M","7.69%"
"Jul 14, 2021","33.43","38.70","39.01","33.27","137.83M","-15.04%"
"Jul 13, 2021","39.35","40.41","42.06","38.71","86.81M","-7.65%"
"Jul 12, 2021","42.61","44.45","46.49","42.10","62.99M","-7.75%"
"Jul 09, 2021","46.19","48.37","48.92","45.82","57.86M","-3.65%"
"Jul 08, 2021","47.94","40.94","49.75","38.80","145.08M","6.37%"
"Jul 07, 2021","45.07","47.75","48.69","42.83","95.32M","-9.79%"
"Jul 06, 2021","49.96","53.58","55.01","49.77","62.37M","-3.85%"
"Jul 02, 2021","51.96","52.77","53.25","47.77","90.76M","-4.17%"
"Jul 01, 2021","54.22","56.95","57.68","52.55","57.77M","-4.34%"
"Jun 30, 2021","56.68","55.91","58.16","54.77","59.02M","0.44%"
"Jun 29, 2021","56.43","59.06","61.00","56.18","63.60M","-2.89%"
"Jun 28, 2021","58.11","55.07","59.35","54.40","99.31M","7.49%"
"Jun 25, 2021","54.06","55.75","56.29","52.97","77.60M","-4.66%"
