"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 08, 2021","9.39","9.56","9.59","9.36","4.70M","-2.19%"
"Oct 07, 2021","9.60","9.47","9.75","9.29","5.50M","2.56%"
"Oct 06, 2021","9.36","9.37","9.45","9.10","9.21M","-1.68%"
"Oct 05, 2021","9.52","9.63","9.83","9.50","6.19M","-0.83%"
"Oct 04, 2021","9.60","9.66","9.72","9.35","9.68M","-1.03%"
"Oct 01, 2021","9.70","9.79","9.91","9.58","5.29M","-0.31%"
"Sep 30, 2021","9.73","9.62","9.98","9.47","9.43M","1.35%"
"Sep 29, 2021","9.60","9.83","9.93","9.56","6.48M","-1.94%"
"Sep 28, 2021","9.79","9.99","10.08","9.77","8.71M","-3.45%"
"Sep 27, 2021","10.14","10.32","10.35","9.96","8.97M","-2.31%"
"Sep 24, 2021","10.38","10.46","10.53","10.14","10.57M","-2.08%"
"Sep 23, 2021","10.60","10.20","11.05","9.96","40.54M","10.88%"
"Sep 22, 2021","9.56","9.50","9.79","9.41","14.26M","2.03%"
"Sep 21, 2021","9.37","9.54","9.60","9.26","8.69M","-0.64%"
"Sep 20, 2021","9.43","9.76","9.79","9.24","12.43M","-5.98%"
"Sep 17, 2021","10.03","10.08","10.22","9.92","10.48M","-1.28%"
"Sep 16, 2021","10.16","10.13","10.17","9.95","6.14M","0.30%"
"Sep 15, 2021","10.13","10.03","10.15","9.90","5.31M","0.90%"
"Sep 14, 2021","10.04","10.47","10.49","9.94","7.07M","-4.11%"
"Sep 13, 2021","10.47","10.43","10.75","10.26","6.25M","0.48%"
"Sep 10, 2021","10.42","10.75","10.86","10.37","4.96M","-2.89%"
"Sep 09, 2021","10.73","10.40","11.13","10.35","9.28M","3.27%"
"Sep 08, 2021","10.39","10.79","10.84","10.38","6.57M","-4.06%"
"Sep 07, 2021","10.83","11.09","11.22","10.76","7.60M","-2.17%"
"Sep 03, 2021","11.07","11.20","11.44","11.01","4.79M","-1.60%"
"Sep 02, 2021","11.25","11.77","11.84","11.07","8.54M","-3.68%"
"Sep 01, 2021","11.68","11.45","12.01","11.41","14.30M","2.37%"
"Aug 31, 2021","11.41","11.22","11.54","11.11","8.70M","1.78%"
"Aug 30, 2021","11.21","11.33","11.52","10.91","10.30M","-0.80%"
"Aug 27, 2021","11.30","10.81","11.40","10.80","12.69M","4.53%"
"Aug 26, 2021","10.81","10.73","11.18","10.56","13.29M","0.65%"
"Aug 25, 2021","10.74","11.23","11.68","10.66","26.20M","-3.24%"
"Aug 24, 2021","11.10","10.13","11.34","10.13","24.06M","9.47%"
"Aug 23, 2021","10.14","9.70","10.24","9.67","8.67M","5.30%"
"Aug 20, 2021","9.63","9.57","9.81","9.48","5.34M","0.73%"
"Aug 19, 2021","9.56","9.88","9.98","9.53","7.79M","-5.16%"
"Aug 18, 2021","10.08","9.81","10.33","9.72","9.77M","4.24%"
"Aug 17, 2021","9.67","9.60","9.87","9.48","9.34M","0.00%"
"Aug 16, 2021","9.67","9.82","9.89","9.56","7.47M","-2.13%"
"Aug 13, 2021","9.88","10.11","10.17","9.86","5.79M","-2.85%"
"Aug 12, 2021","10.17","10.29","10.44","10.07","3.65M","-1.45%"
"Aug 11, 2021","10.32","10.41","10.44","10.07","4.58M","-0.48%"
"Aug 10, 2021","10.37","10.39","10.64","10.28","4.92M","-0.38%"
"Aug 09, 2021","10.41","10.25","10.54","10.19","6.13M","1.17%"
"Aug 06, 2021","10.29","10.33","10.46","10.20","4.49M","-1.34%"
"Aug 05, 2021","10.43","9.93","10.62","9.87","10.97M","5.67%"
"Aug 04, 2021","9.87","10.11","10.23","9.83","7.25M","-2.95%"
"Aug 03, 2021","10.17","10.16","10.18","9.88","5.76M","0.69%"
"Aug 02, 2021","10.10","10.19","10.40","10.09","4.73M","-0.59%"
"Jul 30, 2021","10.16","10.29","10.49","10.05","5.35M","-1.84%"
"Jul 29, 2021","10.35","10.65","10.69","10.29","8.04M","-3.90%"
"Jul 28, 2021","10.77","10.01","11.00","10.01","15.86M","8.68%"
"Jul 27, 2021","9.91","10.14","10.16","9.64","9.00M","-2.46%"
"Jul 26, 2021","10.16","10.25","10.41","9.96","8.37M","-0.20%"
"Jul 23, 2021","10.18","10.38","10.44","10.04","4.74M","-1.93%"
"Jul 22, 2021","10.38","10.74","10.90","10.35","4.60M","-4.07%"
"Jul 21, 2021","10.82","10.43","10.87","10.40","7.89M","1.88%"
"Jul 20, 2021","10.62","9.98","10.72","9.94","11.08M","7.49%"
"Jul 19, 2021","9.88","9.82","10.09","9.66","12.81M","-2.27%"
"Jul 16, 2021","10.11","10.58","10.69","9.96","10.34M","-4.35%"
"Jul 15, 2021","10.57","10.48","10.90","10.24","12.86M","-0.84%"
"Jul 14, 2021","10.66","11.10","11.21","10.54","9.78M","-3.79%"
"Jul 13, 2021","11.08","11.18","11.42","10.90","6.83M","-1.51%"
"Jul 12, 2021","11.25","11.77","11.83","11.17","7.35M","-4.58%"
"Jul 09, 2021","11.79","11.49","11.80","11.40","5.44M","2.08%"
"Jul 08, 2021","11.55","11.06","11.78","10.91","12.56M","0.96%"
"Jul 07, 2021","11.44","12.08","12.14","11.37","12.34M","-5.22%"
"Jul 06, 2021","12.07","12.08","12.38","11.98","10.88M","0.67%"
"Jul 02, 2021","11.99","12.08","12.24","11.82","10.38M","-1.48%"
"Jul 01, 2021","12.17","12.18","12.26","11.87","12.24M","-0.41%"
"Jun 30, 2021","12.22","12.06","12.50","11.96","13.82M","-0.16%"
"Jun 29, 2021","12.24","12.61","12.68","12.19","14.34M","-4.38%"
"Jun 28, 2021","12.80","12.07","12.86","12.05","31.12M","5.61%"
"Jun 25, 2021","12.12","12.21","12.46","11.76","36.95M","-4.42%"
"Jun 24, 2021","12.68","13.22","13.31","12.64","22.16M","-3.50%"
"Jun 23, 2021","13.14","13.23","13.46","12.91","23.00M","-2.01%"
"Jun 22, 2021","13.41","12.74","13.57","12.40","32.56M","4.77%"
