Date,Price,Open,High,Low,Vol.,Change %
"Aug 16, 2021",8.49,8.29,8.57,7.93,25.40M,3.28%
"Aug 13, 2021",8.22,8.74,8.9,8.2,39.43M,-8.77%
"Aug 12, 2021",9.01,9.52,9.65,8.58,147.40M,10.82%
"Aug 11, 2021",8.13,8.41,8.43,8.02,26.32M,-3.33%
"Aug 10, 2021",8.41,9.1,9.23,8.16,30.10M,-4.54%
"Aug 09, 2021",8.81,8.14,8.84,8.09,25.82M,9.17%
"Aug 06, 2021",8.07,8.05,8.15,7.98,7.40M,-0.74%
"Aug 05, 2021",8.13,7.91,8.19,7.86,10.74M,2.65%
"Aug 04, 2021",7.92,8.14,8.14,7.89,12.34M,-2.46%
"Aug 03, 2021",8.12,8.3,8.57,8.04,17.60M,-0.37%
"Aug 02, 2021",8.15,8.07,8.49,7.99,19.71M,0.99%
"Jul 30, 2021",8.07,8.06,8.31,8.04,7.46M,-1.82%
"Jul 29, 2021",8.22,8.3,8.46,8.14,9.35M,-1.20%
"Jul 28, 2021",8.32,8.04,8.43,7.97,16.26M,3.35%
"Jul 27, 2021",8.05,8.09,8.24,7.84,14.96M,-1.83%
"Jul 26, 2021",8.2,7.98,8.51,7.93,19.17M,1.86%
"Jul 23, 2021",8.05,8.35,8.44,7.97,28.13M,-6.61%
"Jul 22, 2021",8.62,9.45,9.45,8.4,44.88M,-2.93%
"Jul 21, 2021",8.88,8.4,9.09,8.32,30.19M,6.35%
"Jul 20, 2021",8.35,8.2,8.5,7.92,24.28M,0.60%
"Jul 19, 2021",8.3,7.87,8.38,7.67,20.09M,1.22%
"Jul 16, 2021",8.2,8.4,8.52,8.11,17.39M,-0.73%
"Jul 15, 2021",8.26,8.21,8.72,7.96,29.13M,-4.84%
"Jul 14, 2021",8.68,8.94,9.24,8.57,26.25M,-2.58%
"Jul 13, 2021",8.91,9.37,9.51,8.78,39.65M,-7.95%
"Jul 12, 2021",9.68,9.15,9.99,8.86,49.81M,4.42%
"Jul 09, 2021",9.27,9.57,9.61,9.13,28.69M,-0.96%
"Jul 08, 2021",9.36,9.31,9.66,9.19,30.39M,-3.70%
"Jul 07, 2021",9.72,10.47,10.47,9.61,35.59M,-2.80%
"Jul 06, 2021",10,11.12,11.12,9.97,76.12M,-14.60%
"Jul 02, 2021",11.71,12.16,12.2,11.3,30.91M,-5.03%
"Jul 01, 2021",12.33,13.12,13.24,12.27,24.33M,-7.43%
"Jun 30, 2021",13.32,13.62,14.16,13.18,34.03M,-0.30%
"Jun 29, 2021",13.36,12.76,14.42,12.55,73.09M,4.37%
"Jun 28, 2021",12.8,13.05,13.38,12.6,36.18M,-1.31%
"Jun 25, 2021",12.97,13.43,13.78,12.77,50.81M,-5.95%
"Jun 24, 2021",13.79,14.92,15.05,13.52,101.69M,-0.29%
"Jun 23, 2021",13.83,13.92,14.49,13.15,152.25M,9.50%
"Jun 22, 2021",12.63,11.79,13.92,11.62,154.16M,12.37%
"Jun 21, 2021",11.24,12.17,12.25,11.16,32.48M,-6.64%
"Jun 18, 2021",12.04,12.75,13.44,12.03,34.17M,-4.14%
"Jun 17, 2021",12.56,12.99,13.61,12.54,30.71M,-3.01%
"Jun 16, 2021",12.95,13.55,13.68,12.51,40.17M,-5.95%
"Jun 15, 2021",13.77,14.47,15.44,13.7,53.25M,-6.07%
