Date,S&P500 Price,DJI Price,NASDAQ Price,USSC2000 Price,Count,Average
2021-01-28,"3,787.38","30,603.36","13,337.2","2,106.61",1192,-0.0070508389261744
2021-01-29,"3,714.24","29,982.62","13,070.7","2,073.64",15653,-0.0144112502395706
2021-02-01,"3,773.86","30,211.91","13,403.4","2,126.16",880,0.0375530681818181
2021-02-02,"3,826.31","30,687.48","13,612.8","2,151.44",1488,0.0288192204301075
2021-02-03,"3,830.17","30,723.60","13,610.5","2,159.70",2626,0.0315196877380045
2021-02-04,"3,871.74","31,055.86","13,777.7","2,202.42",1665,0.0497745945945945
2021-02-05,"3,886.83","31,148.24","13,856.3","2,233.33",2585,0.0300213152804642
2021-02-08,"3,915.59","31,385.76","13,987.6","2,289.76",284,0.0995271126760563
2021-02-09,"3,911.23","31,375.83","14,007.7","2,299.00",148,0.085225
2021-02-10,"3,909.88","31,437.80","13,972.5","2,282.44",222,0.0186252252252252
2021-02-11,"3,916.38","31,430.70","14,025.8","2,285.32",168,0.0748803571428571
2021-02-12,"3,934.83","31,458.40","14,095.5","2,289.36",179,0.0618670391061452
2021-02-16,"3,932.59","31,522.75","14,047.5","2,272.89",90,0.1427477777777777
2021-02-17,"3,931.33","31,613.02","13,965.5","2,256.11",171,0.080638596491228
2021-02-18,"3,913.97","31,493.34","13,865.4","2,218.39",245,0.070524081632653
2021-02-19,"3,906.71","31,494.32","13,874.5","2,266.69",346,0.0808497109826589
2021-02-22,"3,876.50","31,521.69","13,533.0","2,251.07",139,0.0594453237410072
2021-02-23,"3,881.37","31,537.35","13,465.2","2,231.31",267,0.075941947565543
2021-02-24,"3,925.43","31,961.86","13,598.0","2,284.38",240,0.06555875
2021-02-25,"3,829.34","31,402.01","13,119.4","2,200.17",542,0.0774645756457564
2021-02-26,"3,811.15","30,932.37","13,192.3","2,201.05",561,0.0986524064171123
2021-03-01,"3,901.82","31,535.51","13,588.8","2,275.32",133,0.0899240601503759
2021-03-02,"3,870.29","31,391.52","13,358.8","2,231.51",358,0.1022310055865921
2021-03-03,"3,819.72","31,270.09","12,997.8","2,207.79",589,0.1306940577249575
2021-03-04,"3,768.47","30,924.14","12,723.5","2,146.92",474,0.0729303797468354
2021-03-05,"3,841.94","31,496.30","12,920.1","2,192.21",427,0.0585283372365339
2021-03-08,"3,821.35","31,802.44","12,609.2","2,202.98",125,0.0573032
2021-03-09,"3,875.44","31,832.74","13,073.8","2,245.06",351,0.1160096866096866
2021-03-10,"3,898.81","32,297.02","13,068.8","2,285.68",580,0.1446824137931034
2021-03-11,"3,939.34","32,485.59","13,398.7","2,338.54",550,0.0973830909090909
2021-03-12,"3,943.34","32,778.64","13,319.9","2,352.79",312,0.0949282051282051
2021-03-15,"3,968.94","32,953.46","13,459.7","2,360.17",93,0.0703924731182795
2021-03-16,"3,962.71","32,825.95","13,471.6","2,319.52",234,0.1125017094017094
2021-03-17,"3,974.12","33,015.37","13,525.2","2,336.39",233,0.1131798283261802
2021-03-18,"3,915.46","32,862.30","13,116.2","2,267.59",214,0.1263294392523364
2021-03-19,"3,913.10","32,627.97","13,215.2","2,287.55",218,0.0637784403669724
2021-03-22,"3,940.59","32,731.20","13,377.5","2,266.84",59,0.0712440677966101
2021-03-23,"3,910.52","32,423.15","13,227.7","2,185.69",113,0.1297663716814159
2021-03-24,"3,889.14","32,420.06","12,961.9","2,134.27",143,0.0904601398601398
2021-03-25,"3,909.52","32,619.48","12,977.7","2,183.12",269,0.0702052044609665
2021-03-26,"3,974.54","33,072.88","13,138.7","2,221.48",185,0.0678102702702702
2021-03-29,"3,971.09","33,171.37","13,059.6","2,158.68",66,0.0916833333333333
2021-03-30,"3,958.55","33,066.96","13,045.4","2,195.80",101,0.0705584158415841
2021-03-31,"3,972.89","32,981.55","13,246.9","2,220.52",84,0.0573428571428571
2021-04-01,"4,019.87","33,153.21","13,480.1","2,253.90",138,0.1101666666666666
2021-04-05,"4,077.91","33,527.19","13,705.6","2,264.89",38,0.2545105263157895
2021-04-06,"4,073.94","33,430.24","13,698.4","2,259.15",78,0.1403769230769231
2021-04-07,"4,079.95","33,446.26","13,688.8","2,223.05",66,0.130860606060606
2021-04-08,"4,097.17","33,503.57","13,829.3","2,242.60",71,0.1224732394366197
2021-04-09,"4,128.80","33,800.60","13,900.2","2,243.47",107,0.1034542056074766
2021-04-12,"4,127.99","33,745.40","13,850.0","2,233.78",46,0.1369369565217391
2021-04-13,"4,141.59","33,677.27","13,996.1","2,228.92",105,0.0600714285714285
2021-04-14,"4,124.66","33,730.89","13,857.8","2,247.72",122,0.1709696721311476
2021-04-15,"4,170.42","34,035.99","14,038.8","2,257.07",83,0.1155481927710843
2021-04-16,"4,185.47","34,200.67","14,052.3","2,262.67",79,0.1713316455696202
2021-04-19,"4,163.26","34,077.63","13,914.8","2,232.00",23,-0.0329565217391304
2021-04-20,"4,134.94","33,821.30","13,786.3","2,188.21",67,0.0382059701492537
2021-04-21,"4,173.42","34,137.31","13,950.2","2,239.63",69,0.1115362318840579
2021-04-22,"4,134.98","33,815.90","13,818.4","2,232.61",58,0.1589568965517241
2021-04-23,"4,180.17","34,043.49","14,016.8","2,271.86",46,0.1067260869565217
2021-04-26,"4,187.62","33,981.57","14,138.8","2,298.01",25,0.10214
2021-04-27,"4,186.72","33,984.93","14,090.2","2,301.27",112,0.1636991071428571
2021-04-28,"4,183.18","33,820.38","14,051.0","2,304.16",84,0.1389607142857142
2021-04-29,"4,211.47","34,060.36","14,082.5","2,295.46",93,0.1574440860215053
2021-04-30,"4,181.17","33,874.85","13,962.7","2,266.45",48,0.0981187499999999
2021-05-05,"4,167.59","34,230.34","13,582.4","2,241.37",42,0.1619142857142857
2021-05-06,"4,201.62","34,548.53","13,632.8","2,241.42",161,0.0714366459627329
2021-05-07,"4,232.60","34,777.76","13,752.2","2,271.63",180,0.0402638888888888
2021-05-10,"4,188.43","34,742.82","13,401.9","2,212.70",61,0.079955737704918
2021-05-11,"4,152.10","34,269.16","13,389.4","2,206.99",119,0.1004680672268907
2021-05-12,"4,063.04","33,587.66","13,031.7","2,135.14",92,0.0929586956521739
2021-05-13,"4,112.50","34,021.45","13,125.0","2,170.95",104,0.1057336538461538
2021-05-14,"4,173.85","34,382.13","13,430.0","2,224.63",114,0.0983701754385965
2021-05-17,"4,163.29","34,327.79","13,379.0","2,227.12",28,-0.0008821428571428
2021-05-18,"4,127.83","34,060.66","13,303.6","2,210.88",73,0.0970356164383561
2021-05-19,"4,115.68","33,896.04","13,299.7","2,193.64",49,0.1477102040816326
2021-05-20,"4,159.12","34,084.15","13,535.7","2,207.76",71,0.0479521126760563
2021-05-21,"4,155.86","34,207.84","13,471.0","2,215.27",77,0.0846454545454545
2021-05-24,"4,197.05","34,393.98","13,661.2","2,227.34",39,0.0077641025641025
2021-05-25,"4,188.13","34,312.46","13,657.2","2,205.75",89,0.1036022471910112
2021-05-26,"4,195.99","34,323.05","13,738.0","2,249.27",91,0.0705307692307692
2021-05-27,"4,200.88","34,464.64","13,736.3","2,273.07",130,0.1535538461538461
2021-05-28,"4,204.11","34,529.45","13,748.7","2,268.97",171,0.1410204678362573
2021-06-01,"4,202.04","34,575.31","13,736.5","2,294.74",34,0.0884470588235294
2021-06-10,"4,239.18","34,466.24","14,020.3","2,311.41",210,0.1538142857142857
2021-06-11,"4,247.44","34,479.60","14,069.4","2,335.81",367,0.152108991825613
2021-06-15,"4,246.59","34,299.33","14,072.9","2,320.07",92,0.1883076086956522
2021-06-16,"4,223.70","34,033.67","14,039.7","2,314.69",194,0.162191237113402
2021-06-17,"4,221.86","33,823.45","14,161.3","2,287.46",169,0.1512585798816568
2021-06-18,"4,166.45","33,290.08","14,030.4","2,237.75",172,0.1847156976744186
2021-06-21,"4,224.79","33,876.97","14,141.5","2,286.09",60,0.0518466666666666
2021-06-22,"4,246.44","33,945.58","14,253.3","2,295.95",150,0.1340666666666666
2021-06-23,"4,241.84","33,874.24","14,271.7","2,303.47",178,0.1555129213483146
2021-06-24,"4,266.49","34,196.82","14,369.7","2,333.62",165,0.1835357575757575
2021-06-25,"4,280.70","34,433.84","14,360.4","2,334.40",134,0.1609910447761193
2021-06-28,"4,290.61","34,283.27","14,500.5","2,322.34",5,0.3202
2021-06-29,"4,291.80","34,292.29","14,528.3","2,308.84",222,0.1546612612612612
2021-06-30,"4,297.50","34,502.51","14,504.0","2,310.55",50,0.09032
