"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2021","35,360.73","35,391.38","35,449.79","35,289.86","337.24M","-0.11%"
"Aug 30, 2021","35,399.84","35,471.80","35,510.71","35,374.46","246.81M","-0.16%"
"Aug 27, 2021","35,455.80","35,231.11","35,479.18","35,231.11","242.14M","0.69%"
"Aug 26, 2021","35,213.12","35,449.68","35,498.45","35,205.10","239.93M","-0.54%"
"Aug 25, 2021","35,405.50","35,388.77","35,501.14","35,287.63","239.71M","0.11%"
"Aug 24, 2021","35,366.26","35,382.72","35,445.47","35,356.18","230.48M","0.09%"
"Aug 23, 2021","35,335.71","35,160.97","35,428.91","35,160.97","250.96M","0.61%"
"Aug 20, 2021","35,120.08","34,917.96","35,177.26","34,867.07","269.55M","0.65%"
"Aug 19, 2021","34,894.12","34,874.67","34,997.81","34,690.25","335.05M","-0.19%"
"Aug 18, 2021","34,960.69","35,310.20","35,356.80","34,943.41","291.06M","-1.08%"
"Aug 17, 2021","35,343.28","35,500.01","35,500.01","35,120.31","310.15M","-0.79%"
"Aug 16, 2021","35,625.40","35,490.83","35,631.19","35,231.87","294.01M","0.31%"
"Aug 13, 2021","35,515.38","35,551.56","35,610.57","35,474.78","238.68M","0.04%"
"Aug 12, 2021","35,499.85","35,481.94","35,510.77","35,352.53","236.16M","0.04%"
"Aug 11, 2021","35,484.97","35,300.89","35,501.16","35,300.89","233.04M","0.62%"
"Aug 10, 2021","35,264.67","35,135.17","35,285.16","35,091.91","255.24M","0.46%"
"Aug 09, 2021","35,101.85","35,229.67","35,229.67","35,041.24","207.85M","-0.30%"
"Aug 06, 2021","35,208.51","35,077.44","35,246.79","35,077.44","231.57M","0.41%"
"Aug 05, 2021","35,064.25","34,815.61","35,067.54","34,815.61","217.39M","0.78%"
"Aug 04, 2021","34,792.67","35,047.44","35,047.44","34,790.62","245.30M","-0.92%"
"Aug 03, 2021","35,116.40","34,864.10","35,120.94","34,714.33","259.82M","0.80%"
"Aug 02, 2021","34,838.16","34,968.56","35,192.11","34,808.20","244.89M","-0.28%"
"Jul 30, 2021","34,935.47","35,013.26","35,106.30","34,871.13","281.14M","-0.42%"
"Jul 29, 2021","35,084.53","34,985.99","35,171.52","34,985.99","223.67M","0.44%"
"Jul 28, 2021","34,930.93","35,109.95","35,116.37","34,876.84","347.17M","-0.36%"
"Jul 27, 2021","35,058.52","35,078.90","35,078.90","34,878.07","335.25M","-0.24%"
"Jul 26, 2021","35,144.31","35,055.86","35,150.37","34,950.19","264.80M","0.24%"
"Jul 23, 2021","35,061.55","34,855.11","35,095.33","34,855.11","315.06M","0.68%"
"Jul 22, 2021","34,823.35","34,799.68","34,879.28","34,673.03","294.65M","0.07%"
"Jul 21, 2021","34,798.00","34,556.96","34,820.24","34,556.96","327.19M","0.83%"
"Jul 20, 2021","34,511.99","33,981.79","34,621.79","33,981.79","388.08M","1.62%"
"Jul 19, 2021","33,962.04","34,528.48","34,528.48","33,741.76","450.16M","-2.09%"
"Jul 16, 2021","34,687.85","35,007.94","35,090.01","34,647.82","328.98M","-0.86%"
"Jul 15, 2021","34,987.02","34,924.81","34,990.41","34,762.87","320.45M","0.15%"
"Jul 14, 2021","34,933.23","34,920.83","35,069.18","34,826.87","348.66M","0.13%"
"Jul 13, 2021","34,888.79","34,959.96","35,018.79","34,876.89","323.68M","-0.31%"
"Jul 12, 2021","34,996.18","34,836.75","35,014.90","34,730.15","302.28M","0.36%"
"Jul 09, 2021","34,870.16","34,457.51","34,893.72","34,457.51","301.75M","1.30%"
"Jul 08, 2021","34,421.93","34,569.01","34,569.01","34,145.59","335.76M","-0.75%"
"Jul 07, 2021","34,681.79","34,604.17","34,708.78","34,435.59","305.38M","0.30%"
"Jul 06, 2021","34,577.37","34,790.16","34,814.20","34,358.42","348.43M","-0.60%"
"Jul 02, 2021","34,786.35","34,642.42","34,821.93","34,613.49","303.06M","0.44%"
"Jul 01, 2021","34,633.53","34,507.32","34,640.28","34,498.85","269.31M","0.38%"
"Jun 30, 2021","34,502.51","34,290.74","34,553.16","34,245.48","298.63M","0.61%"
"Jun 29, 2021","34,292.29","34,338.89","34,469.83","34,266.83","288.65M","0.03%"
"Jun 28, 2021","34,283.27","34,428.10","34,449.65","34,186.13","281.29M","-0.44%"
"Jun 25, 2021","34,433.84","34,328.10","34,501.02","34,314.80","456.03M","0.69%"
"Jun 24, 2021","34,196.82","33,933.91","34,233.02","33,933.91","279.38M","0.95%"
"Jun 23, 2021","33,874.24","33,948.54","34,009.40","33,869.83","257.05M","-0.21%"
"Jun 22, 2021","33,945.58","33,872.56","34,040.70","33,751.06","285.33M","0.20%"
"Jun 21, 2021","33,876.97","33,312.07","33,908.09","33,312.07","324.44M","1.76%"
"Jun 18, 2021","33,290.08","33,622.70","33,622.70","33,271.93","569.38M","-1.58%"
"Jun 17, 2021","33,823.45","34,014.38","34,091.79","33,626.61","355.92M","-0.62%"
"Jun 16, 2021","34,033.67","34,308.48","34,333.25","33,917.11","348.03M","-0.77%"
"Jun 15, 2021","34,299.33","34,397.10","34,420.38","34,199.16","274.13M","-0.27%"
