,Date,S&P500 Price,DJI Price,NASDAQ Price,USSC2000 Price
0,2021-01-04,"3,700.65","30,223.89","12,698.4","1,945.91"
1,2021-01-05,"3,726.86","30,391.60","12,819.0","1,979.11"
2,2021-01-06,"3,748.14","30,829.40","12,740.8","2,057.92"
3,2021-01-07,"3,803.79","31,041.13","13,067.5","2,096.89"
4,2021-01-08,"3,824.68","31,097.97","13,202.0","2,091.66"
5,2021-01-11,"3,799.61","31,008.69","13,036.4","2,091.01"
6,2021-01-12,"3,801.19","31,068.69","13,072.4","2,127.96"
7,2021-01-13,"3,809.84","31,060.47","13,129.0","2,111.97"
8,2021-01-14,"3,795.54","30,991.52","13,112.6","2,155.35"
9,2021-01-15,"3,768.25","30,814.26","12,998.5","2,123.20"
10,2021-01-19,"3,798.91","30,930.52","13,197.2","2,151.14"
11,2021-01-20,"3,851.85","31,188.38","13,457.2","2,160.62"
12,2021-01-21,"3,853.07","31,176.01","13,530.9","2,141.42"
13,2021-01-22,"3,841.47","30,996.98","13,543.1","2,168.76"
14,2021-01-25,"3,855.36","30,960.00","13,636.0","2,163.27"
15,2021-01-26,"3,849.62","30,937.04","13,626.1","2,149.86"
16,2021-01-27,"3,750.77","30,303.17","13,270.6","2,108.70"
17,2021-01-28,"3,787.38","30,603.36","13,337.2","2,106.61"
18,2021-01-29,"3,714.24","29,982.62","13,070.7","2,073.64"
19,2021-02-01,"3,773.86","30,211.91","13,403.4","2,126.16"
20,2021-02-02,"3,826.31","30,687.48","13,612.8","2,151.44"
21,2021-02-03,"3,830.17","30,723.60","13,610.5","2,159.70"
22,2021-02-04,"3,871.74","31,055.86","13,777.7","2,202.42"
23,2021-02-05,"3,886.83","31,148.24","13,856.3","2,233.33"
24,2021-02-08,"3,915.59","31,385.76","13,987.6","2,289.76"
25,2021-02-09,"3,911.23","31,375.83","14,007.7","2,299.00"
26,2021-02-10,"3,909.88","31,437.80","13,972.5","2,282.44"
27,2021-02-11,"3,916.38","31,430.70","14,025.8","2,285.32"
28,2021-02-12,"3,934.83","31,458.40","14,095.5","2,289.36"
29,2021-02-16,"3,932.59","31,522.75","14,047.5","2,272.89"
30,2021-02-17,"3,931.33","31,613.02","13,965.5","2,256.11"
31,2021-02-18,"3,913.97","31,493.34","13,865.4","2,218.39"
32,2021-02-19,"3,906.71","31,494.32","13,874.5","2,266.69"
33,2021-02-22,"3,876.50","31,521.69","13,533.0","2,251.07"
34,2021-02-23,"3,881.37","31,537.35","13,465.2","2,231.31"
35,2021-02-24,"3,925.43","31,961.86","13,598.0","2,284.38"
36,2021-02-25,"3,829.34","31,402.01","13,119.4","2,200.17"
37,2021-02-26,"3,811.15","30,932.37","13,192.3","2,201.05"
38,2021-03-01,"3,901.82","31,535.51","13,588.8","2,275.32"
39,2021-03-02,"3,870.29","31,391.52","13,358.8","2,231.51"
40,2021-03-03,"3,819.72","31,270.09","12,997.8","2,207.79"
41,2021-03-04,"3,768.47","30,924.14","12,723.5","2,146.92"
42,2021-03-05,"3,841.94","31,496.30","12,920.1","2,192.21"
43,2021-03-08,"3,821.35","31,802.44","12,609.2","2,202.98"
44,2021-03-09,"3,875.44","31,832.74","13,073.8","2,245.06"
45,2021-03-10,"3,898.81","32,297.02","13,068.8","2,285.68"
46,2021-03-11,"3,939.34","32,485.59","13,398.7","2,338.54"
47,2021-03-12,"3,943.34","32,778.64","13,319.9","2,352.79"
48,2021-03-15,"3,968.94","32,953.46","13,459.7","2,360.17"
49,2021-03-16,"3,962.71","32,825.95","13,471.6","2,319.52"
50,2021-03-17,"3,974.12","33,015.37","13,525.2","2,336.39"
51,2021-03-18,"3,915.46","32,862.30","13,116.2","2,267.59"
52,2021-03-19,"3,913.10","32,627.97","13,215.2","2,287.55"
53,2021-03-22,"3,940.59","32,731.20","13,377.5","2,266.84"
54,2021-03-23,"3,910.52","32,423.15","13,227.7","2,185.69"
55,2021-03-24,"3,889.14","32,420.06","12,961.9","2,134.27"
56,2021-03-25,"3,909.52","32,619.48","12,977.7","2,183.12"
57,2021-03-26,"3,974.54","33,072.88","13,138.7","2,221.48"
58,2021-03-29,"3,971.09","33,171.37","13,059.6","2,158.68"
59,2021-03-30,"3,958.55","33,066.96","13,045.4","2,195.80"
60,2021-03-31,"3,972.89","32,981.55","13,246.9","2,220.52"
61,2021-04-01,"4,019.87","33,153.21","13,480.1","2,253.90"
62,2021-04-05,"4,077.91","33,527.19","13,705.6","2,264.89"
63,2021-04-06,"4,073.94","33,430.24","13,698.4","2,259.15"
64,2021-04-07,"4,079.95","33,446.26","13,688.8","2,223.05"
65,2021-04-08,"4,097.17","33,503.57","13,829.3","2,242.60"
66,2021-04-09,"4,128.80","33,800.60","13,900.2","2,243.47"
67,2021-04-12,"4,127.99","33,745.40","13,850.0","2,233.78"
68,2021-04-13,"4,141.59","33,677.27","13,996.1","2,228.92"
69,2021-04-14,"4,124.66","33,730.89","13,857.8","2,247.72"
70,2021-04-15,"4,170.42","34,035.99","14,038.8","2,257.07"
71,2021-04-16,"4,185.47","34,200.67","14,052.3","2,262.67"
72,2021-04-19,"4,163.26","34,077.63","13,914.8","2,232.00"
73,2021-04-20,"4,134.94","33,821.30","13,786.3","2,188.21"
74,2021-04-21,"4,173.42","34,137.31","13,950.2","2,239.63"
75,2021-04-22,"4,134.98","33,815.90","13,818.4","2,232.61"
76,2021-04-23,"4,180.17","34,043.49","14,016.8","2,271.86"
77,2021-04-26,"4,187.62","33,981.57","14,138.8","2,298.01"
78,2021-04-27,"4,186.72","33,984.93","14,090.2","2,301.27"
