Date,S&P500 Price,DJI Price,NASDAQ Price,USSC2000 Price,count_title,average_title,count_body,average_body
2021-01-28,3787.38,30603.36,13337.2,2106.61,1192,-0.0070508389261744,684,0.0490729532163742
2021-01-29,3714.24,29982.62,13070.7,2073.64,15653,-0.0144112502395706,9034,0.0051637591321673
2021-02-01,3773.86,30211.91,13403.4,2126.16,880,0.0375530681818181,319,0.3798492163009404
2021-02-02,3826.31,30687.48,13612.8,2151.44,1488,0.0288192204301075,351,0.2200868945868945
2021-02-03,3830.17,30723.6,13610.5,2159.7,2626,0.0315196877380045,675,0.2320407407407407
2021-02-04,3871.74,31055.86,13777.7,2202.42,1665,0.0497745945945945,858,0.189706993006993
2021-02-05,3886.83,31148.24,13856.3,2233.33,2585,0.0300213152804642,1659,0.1275877034358047
2021-02-08,3915.59,31385.76,13987.6,2289.76,284,0.0995271126760563,127,0.3466543307086614
2021-02-09,3911.23,31375.83,14007.7,2299.0,148,0.085225,110,0.4156490909090909
2021-02-10,3909.88,31437.8,13972.5,2282.44,222,0.0186252252252252,164,0.4051091463414634
2021-02-11,3916.38,31430.7,14025.8,2285.32,168,0.0748803571428571,125,0.5820704000000001
2021-02-12,3934.83,31458.4,14095.5,2289.36,179,0.0618670391061452,143,0.4391818181818182
2021-02-16,3932.59,31522.75,14047.5,2272.89,90,0.1427477777777777,68,0.5936529411764707
2021-02-17,3931.33,31613.02,13965.5,2256.11,171,0.080638596491228,88,0.5312874999999999
2021-02-18,3913.97,31493.34,13865.4,2218.39,245,0.070524081632653,82,0.596420731707317
2021-02-19,3906.71,31494.32,13874.5,2266.69,346,0.0808497109826589,108,0.409163888888889
2021-02-22,3876.5,31521.69,13533.0,2251.07,139,0.0594453237410072,50,0.4799999999999999
2021-02-23,3881.37,31537.35,13465.2,2231.31,267,0.075941947565543,83,0.4955530120481928
2021-02-24,3925.43,31961.86,13598.0,2284.38,240,0.06555875,75,0.5422453333333334
2021-02-25,3829.34,31402.01,13119.4,2200.17,542,0.0774645756457564,117,0.3889521367521367
2021-02-26,3811.15,30932.37,13192.3,2201.05,561,0.0986524064171123,141,0.4679234042553192
2021-03-01,3901.82,31535.51,13588.8,2275.32,133,0.0899240601503759,72,0.5936083333333334
2021-03-02,3870.29,31391.52,13358.8,2231.51,358,0.1022310055865921,114,0.5131078947368422
2021-03-03,3819.72,31270.09,12997.8,2207.79,589,0.1306940577249575,165,0.4648145454545453
2021-03-04,3768.47,30924.14,12723.5,2146.92,474,0.0729303797468354,204,0.5830034313725491
2021-03-05,3841.94,31496.3,12920.1,2192.21,427,0.0585283372365339,162,0.481079012345679
2021-03-08,3821.35,31802.44,12609.2,2202.98,125,0.0573032,61,0.610560655737705
2021-03-09,3875.44,31832.74,13073.8,2245.06,351,0.1160096866096866,90,0.516121111111111
