Date,Price,Open,High,Low,Vol.,Change %
"Aug 16, 2021",163.93,161,169.88,159.16,1.57M,0.87%
"Aug 13, 2021",162.52,160.47,163.55,157.41,1.01M,0.10%
"Aug 12, 2021",162.35,159.88,164.28,157.33,1.29M,2.25%
"Aug 11, 2021",158.78,158.43,159.05,154.62,935.70K,-0.17%
"Aug 10, 2021",159.05,163.07,166.7,155.61,1.62M,-1.29%
"Aug 09, 2021",161.13,151.8,164.62,150.75,2.25M,6.17%
"Aug 06, 2021",151.77,154.59,156.5,150.31,1.35M,-1.09%
"Aug 05, 2021",153.44,148,157.6,145.22,2.40M,4.52%
"Aug 04, 2021",146.8,152.61,157.55,145.85,2.39M,-3.90%
"Aug 03, 2021",152.75,156.13,158.73,148.25,14.45M,-3.11%
"Aug 02, 2021",157.65,162.3,163.51,155.1,2.53M,-2.15%
"Jul 30, 2021",161.12,165,167.22,158.87,2.38M,-2.27%
"Jul 29, 2021",164.86,170.18,173.52,164.65,2.24M,-2.52%
"Jul 28, 2021",169.12,175.75,176.97,164.69,4.10M,-5.28%
"Jul 27, 2021",178.54,182.91,184.66,176.8,1.21M,-2.94%
"Jul 26, 2021",183.94,179.35,186.04,178.76,1.26M,1.98%
"Jul 23, 2021",180.36,181,181.6,173.84,1.32M,0.84%
"Jul 22, 2021",178.85,185.3,187.69,176.15,1.41M,-3.75%
"Jul 21, 2021",185.81,187.79,195.51,182.11,2.23M,-2.81%
"Jul 20, 2021",191.18,173.9,193.64,172.42,3.10M,10.20%
"Jul 19, 2021",173.49,163.3,176,161.22,2.44M,2.63%
"Jul 16, 2021",169.04,170.15,179.47,166.3,3.29M,1.33%
"Jul 15, 2021",166.82,160.03,171.26,158.29,4.30M,-0.48%
"Jul 14, 2021",167.62,181,182.28,165.1,3.91M,-6.91%
"Jul 13, 2021",180.06,187.55,188,179,2.40M,-4.86%
"Jul 12, 2021",189.25,191.5,197.5,187.49,1.64M,-1.04%
"Jul 09, 2021",191.23,190.88,194.78,186.75,1.58M,-0.08%
"Jul 08, 2021",191.38,180.02,194.1,179.8,2.86M,0.38%
"Jul 07, 2021",190.66,195.64,197.05,177.77,4.24M,-4.46%
"Jul 06, 2021",199.56,203.32,204,193.77,2.77M,-1.61%
"Jul 02, 2021",202.83,204.8,205.45,196.5,2.60M,-0.75%
"Jul 01, 2021",204.36,213.97,216.5,202,2.74M,-4.57%
"Jun 30, 2021",214.14,209.76,215.2,207,2.54M,1.55%
"Jun 29, 2021",210.88,213.84,215,208.09,2.48M,-1.11%
"Jun 28, 2021",213.25,211.45,224.45,210.42,4.88M,1.79%
"Jun 25, 2021",209.51,214,214.2,198.5,12.69M,-1.32%
"Jun 24, 2021",212.31,220.03,227.45,211.7,3.86M,-3.21%
"Jun 23, 2021",219.34,221.09,222.49,214.19,3.56M,-0.48%
"Jun 22, 2021",220.4,216.75,225,209.3,8.20M,10.00%
"Jun 21, 2021",200.37,216.95,218.4,197,5.12M,-6.29%
"Jun 18, 2021",213.82,220.18,223.49,213,4.32M,-4.37%
"Jun 17, 2021",223.59,224,233.42,221.96,4.61M,0.28%
"Jun 16, 2021",222.97,215.01,228.51,209.08,5.56M,0.21%
"Jun 15, 2021",222.5,226,229.25,209.4,7.30M,-3.02%
"Jun 14, 2021",229.44,236.5,238.01,219.2,7.13M,-1.67%
"Jun 11, 2021",233.34,222.35,241.13,206.13,15.58M,5.88%
"Jun 10, 2021",220.39,282,288,211,22.98M,-27.16%
"Jun 09, 2021",302.56,303.12,328,291.51,13.43M,0.85%
"Jun 08, 2021",300,292,344.66,281,17.44M,7.14%
"Jun 07, 2021",280.01,258,282,255.2,6.05M,12.74%
"Jun 04, 2021",248.36,256.02,265,245.77,3.64M,-3.80%
"Jun 03, 2021",258.18,265.71,274.43,242.12,8.00M,-8.52%
"Jun 02, 2021",282.24,248.88,294,244.3,16.02M,13.34%
"Jun 01, 2021",249.02,233.48,254.98,227.07,9.63M,12.17%
"May 28, 2021",222,262.97,268.8,221.43,11.75M,-12.64%
"May 27, 2021",254.13,229.8,264,227,15.53M,4.77%
"May 26, 2021",242.56,229,248.48,225.55,21.12M,15.82%
"May 25, 2021",209.43,181,217.11,181,14.89M,16.34%
"May 24, 2021",180.01,175.85,188.46,173.35,4.66M,1.82%
"May 21, 2021",176.79,171,179.24,170.33,3.65M,3.70%
"May 20, 2021",170.49,170.79,174.91,166.9,2.48M,0.98%
"May 19, 2021",168.83,171.99,178.98,164.15,4.83M,-6.55%
"May 18, 2021",180.67,174.54,189.2,168.27,7.74M,0.04%
"May 17, 2021",180.6,159.85,182.5,159,7.46M,12.93%
"May 14, 2021",159.92,160,166.47,156.22,4.29M,-2.78%
"May 13, 2021",164.5,147.44,169.95,146.43,8.87M,13.61%
"May 12, 2021",144.79,145.7,150.5,142.23,2.73M,-1.45%
"May 11, 2021",146.92,137,150.5,136.5,4.68M,2.58%
"May 10, 2021",143.22,161.31,161.59,143,4.81M,-11.10%
"May 07, 2021",161.11,160.11,167.41,157.5,2.93M,0.06%
"May 06, 2021",161.01,160.86,164.72,155.6,2.94M,0.96%
"May 05, 2021",159.48,161.83,165.5,158.33,2.71M,-0.78%
"May 04, 2021",160.73,159,161.49,151.8,4.01M,-0.91%
"May 03, 2021",162.2,177.49,177.49,159.61,5.26M,-6.56%
"Apr 30, 2021",173.59,175,183.8,172.7,4.43M,-1.48%
"Apr 29, 2021",176.19,176.56,180.86,170.75,3.76M,-1.34%
"Apr 28, 2021",178.58,172.1,181.98,166.03,5.79M,0.46%
"Apr 27, 2021",177.77,183.55,188,173.17,8.93M,5.23%
"Apr 26, 2021",168.93,150.98,174.68,148.76,10.53M,11.74%
"Apr 23, 2021",151.18,149,153.66,144.7,4.04M,0.01%
"Apr 22, 2021",151.17,159.1,159.1,146.86,4.35M,-4.63%
"Apr 21, 2021",158.51,158.4,162.98,155.92,3.81M,-0.01%
"Apr 20, 2021",158.53,164.14,164.89,153.36,4.66M,-3.55%
"Apr 19, 2021",164.37,171.8,175.2,162.33,10.52M,6.26%
"Apr 16, 2021",154.69,156,160.2,151.25,5.21M,-1.12%
"Apr 15, 2021",156.44,163,166.25,152.8,7.86M,-6.06%
"Apr 14, 2021",166.53,143.57,174.09,143,21.14M,18.11%
