"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2021","15,259.2","15,262.9","15,279.0","15,202.7","981.94M","-0.04%"
"Aug 30, 2021","15,265.9","15,165.9","15,288.1","15,165.1","807.58M","0.90%"
"Aug 27, 2021","15,129.5","14,969.8","15,144.5","14,966.5","857.20M","1.23%"
"Aug 26, 2021","14,945.8","15,025.2","15,059.6","14,939.6","698.67M","-0.64%"
"Aug 25, 2021","15,041.9","15,039.0","15,059.4","15,011.6","760.11M","0.15%"
"Aug 24, 2021","15,019.8","14,978.1","15,034.9","14,965.5","737.23M","0.52%"
"Aug 23, 2021","14,942.7","14,777.0","14,963.5","14,777.0","782.67M","1.55%"
"Aug 20, 2021","14,714.7","14,571.5","14,722.2","14,571.5","828.73M","1.19%"
"Aug 19, 2021","14,541.8","14,423.2","14,610.8","14,423.2","841.84M","0.11%"
"Aug 18, 2021","14,525.9","14,636.2","14,697.3","14,516.3","764.92M","-0.89%"
"Aug 17, 2021","14,656.2","14,670.6","14,716.9","14,550.9","797.61M","-0.93%"
"Aug 16, 2021","14,793.8","14,771.5","14,794.7","14,610.0","774.04M","-0.20%"
"Aug 13, 2021","14,822.9","14,825.1","14,850.6","14,797.2","774.68M","0.04%"
"Aug 12, 2021","14,816.3","14,751.4","14,824.3","14,698.9","783.88M","0.35%"
"Aug 11, 2021","14,765.1","14,834.4","14,842.5","14,692.4","787.41M","-0.16%"
"Aug 10, 2021","14,788.1","14,887.7","14,894.6","14,754.5","781.07M","-0.49%"
"Aug 09, 2021","14,860.2","14,855.8","14,883.8","14,802.7","801.12M","0.16%"
"Aug 06, 2021","14,835.8","14,864.2","14,890.2","14,788.6","817.60M","-0.40%"
"Aug 05, 2021","14,895.1","14,794.1","14,896.5","14,776.0","842.72M","0.78%"
"Aug 04, 2021","14,780.5","14,747.2","14,812.4","14,734.1","875.56M","0.13%"
"Aug 03, 2021","14,761.3","14,714.0","14,762.6","14,584.1","831.95M","0.55%"
"Aug 02, 2021","14,681.1","14,758.6","14,770.4","14,665.7","752.76M","0.06%"
"Jul 30, 2021","14,672.7","14,615.9","14,728.8","14,615.9","788.21M","-0.71%"
"Jul 29, 2021","14,778.3","14,771.2","14,833.7","14,761.4","760.01M","0.11%"
"Jul 28, 2021","14,762.6","14,715.7","14,798.9","14,645.6","839.14M","0.70%"
"Jul 27, 2021","14,660.6","14,807.9","14,811.1","14,503.8","885.24M","-1.21%"
"Jul 26, 2021","14,840.7","14,821.0","14,863.6","14,790.5","850.81M","0.03%"
"Jul 23, 2021","14,837.0","14,753.1","14,846.1","14,698.8","758.41M","1.04%"
"Jul 22, 2021","14,684.6","14,652.7","14,694.2","14,617.9","712.06M","0.36%"
"Jul 21, 2021","14,632.0","14,508.7","14,633.1","14,498.7","801.83M","0.92%"
"Jul 20, 2021","14,498.9","14,330.5","14,555.7","14,271.2","1.03B","1.57%"
"Jul 19, 2021","14,275.0","14,236.0","14,313.6","14,178.7","916.44M","-1.06%"
"Jul 16, 2021","14,427.2","14,597.5","14,623.0","14,413.3","811.42M","-0.80%"
"Jul 15, 2021","14,543.1","14,635.8","14,650.4","14,451.8","832.92M","-0.70%"
"Jul 14, 2021","14,645.0","14,780.9","14,790.5","14,632.9","862.70M","-0.22%"
"Jul 13, 2021","14,677.7","14,715.1","14,803.7","14,660.2","805.39M","-0.38%"
"Jul 12, 2021","14,733.2","14,743.9","14,761.1","14,672.6","753.86M","0.21%"
"Jul 09, 2021","14,701.9","14,578.4","14,710.2","14,552.3","756.93M","0.98%"
"Jul 08, 2021","14,559.8","14,409.2","14,610.1","14,371.6","920.12M","-0.72%"
"Jul 07, 2021","14,665.1","14,753.4","14,755.3","14,580.8","889.86M","0.01%"
"Jul 06, 2021","14,663.6","14,661.5","14,687.0","14,529.8","909.25M","0.17%"
"Jul 02, 2021","14,639.3","14,583.0","14,649.1","14,555.3","724.36M","0.81%"
"Jul 01, 2021","14,522.4","14,493.7","14,533.5","14,439.4","843.43M","0.13%"
"Jun 30, 2021","14,504.0","14,509.9","14,526.8","14,478.1","1.08B","-0.17%"
"Jun 29, 2021","14,528.3","14,509.2","14,536.0","14,471.4","908.40M","0.19%"
"Jun 28, 2021","14,500.5","14,417.8","14,505.2","14,417.2","898.05M","0.98%"
"Jun 25, 2021","14,360.4","14,400.8","14,409.1","14,337.7","3.12B","-0.06%"
"Jun 24, 2021","14,369.7","14,357.3","14,414.5","14,333.7","807.03M","0.69%"
"Jun 23, 2021","14,271.7","14,263.4","14,317.7","14,246.3","852.78M","0.13%"
"Jun 22, 2021","14,253.3","14,138.3","14,269.8","14,121.0","891.23M","0.79%"
"Jun 21, 2021","14,141.5","14,047.4","14,150.8","13,960.0","969.70M","0.79%"
"Jun 18, 2021","14,030.4","14,096.9","14,129.2","14,009.0","2.14B","-0.92%"
"Jun 17, 2021","14,161.3","13,999.1","14,196.2","13,998.9","990.64M","0.87%"
"Jun 16, 2021","14,039.7","14,085.6","14,129.7","13,903.7","981.27M","-0.24%"
"Jun 15, 2021","14,072.9","14,166.6","14,171.0","14,052.2","880.03M","-0.71%"
"Jun 14, 2021","14,174.1","14,083.5","14,175.5","14,056.7","895.43M","0.74%"
"Jun 11, 2021","14,069.4","14,030.9","14,069.4","14,006.6","824.12M","0.35%"
"Jun 10, 2021","14,020.3","13,933.9","14,031.2","13,904.4","929.35M","0.78%"
"Jun 09, 2021","13,911.8","13,980.2","14,003.5","13,906.5","1.09B","-0.09%"
"Jun 08, 2021","13,924.9","13,946.3","13,981.7","13,832.0","1.17B","0.31%"
"Jun 07, 2021","13,881.7","13,802.8","13,889.1","13,784.9","916.97M","0.49%"
"Jun 04, 2021","13,814.5","13,697.2","13,826.8","13,692.0","806.24M","1.47%"
"Jun 03, 2021","13,614.5","13,655.7","13,684.1","13,548.9","1.02B","-1.03%"
"Jun 02, 2021","13,756.3","13,743.2","13,775.9","13,689.7","996.75M","0.14%"
"Jun 01, 2021","13,736.5","13,829.1","13,836.2","13,678.8","884.81M","-0.09%"
"May 28, 2021","13,748.7","13,792.0","13,820.9","13,747.6","911.24M","0.09%"
"May 27, 2021","13,736.3","13,742.6","13,776.5","13,701.6","1.41B","-0.01%"
"May 26, 2021","13,738.0","13,693.9","13,750.2","13,679.6","819.71M","0.59%"
"May 25, 2021","13,657.2","13,721.5","13,751.1","13,631.8","823.66M","-0.03%"
"May 24, 2021","13,661.2","13,557.2","13,708.8","13,551.0","730.82M","1.41%"
"May 21, 2021","13,471.0","13,616.2","13,616.6","13,463.3","786.55M","-0.48%"
"May 20, 2021","13,535.7","13,356.6","13,563.5","13,355.7","810.41M","1.77%"
"May 19, 2021","13,299.7","13,078.2","13,304.6","13,072.2","879.28M","-0.03%"
"May 18, 2021","13,303.6","13,416.9","13,485.3","13,299.9","852.73M","-0.56%"
"May 17, 2021","13,379.0","13,368.8","13,399.2","13,265.4","799.86M","-0.38%"
"May 14, 2021","13,430.0","13,255.6","13,460.9","13,243.0","854.90M","2.32%"
"May 13, 2021","13,125.0","13,150.9","13,247.9","13,007.2","986.84M","0.72%"
"May 12, 2021","13,031.7","13,215.5","13,288.6","13,002.5","985.26M","-2.67%"
"May 11, 2021","13,389.4","13,115.9","13,423.3","13,107.7","983.05M","-0.09%"
"May 10, 2021","13,401.9","13,687.6","13,687.9","13,401.7","1.02B","-2.55%"
"May 07, 2021","13,752.2","13,723.1","13,828.6","13,690.7","873.19M","0.88%"
"May 06, 2021","13,632.8","13,557.8","13,635.7","13,439.4","1.04B","0.37%"
"May 05, 2021","13,582.4","13,731.1","13,753.0","13,553.9","909.08M","-0.37%"
"May 04, 2021","13,633.5","13,774.5","13,795.6","13,485.6","1.09B","-1.88%"
"May 03, 2021","13,895.1","14,031.8","14,042.1","13,881.5","919.69M","-0.48%"
"Apr 30, 2021","13,962.7","13,970.7","14,084.8","13,941.6","1.02B","-0.85%"
"Apr 29, 2021","14,082.5","14,204.5","14,211.6","13,952.8","994.15M","0.22%"
"Apr 28, 2021","14,051.0","14,082.8","14,133.7","14,034.7","861.23M","-0.28%"
"Apr 27, 2021","14,090.2","14,170.9","14,171.2","14,064.3","871.20M","-0.34%"
"Apr 26, 2021","14,138.8","14,052.4","14,154.0","14,019.5","867.75M","0.87%"
"Apr 23, 2021","14,016.8","13,861.4","14,062.7","13,856.8","843.30M","1.44%"
"Apr 22, 2021","13,818.4","13,952.6","14,015.9","13,771.0","871.28M","-0.94%"
"Apr 21, 2021","13,950.2","13,745.8","13,951.3","13,706.9","819.76M","1.19%"
"Apr 20, 2021","13,786.3","13,894.5","13,927.7","13,698.7","875.27M","-0.92%"
"Apr 19, 2021","13,914.8","13,984.6","14,041.8","13,842.6","907.06M","-0.98%"
"Apr 16, 2021","14,052.3","14,059.1","14,062.5","13,977.0","962.78M","0.10%"
"Apr 15, 2021","14,038.8","13,983.2","14,049.1","13,970.4","867.56M","1.31%"
"Apr 14, 2021","13,857.8","14,004.1","14,033.6","13,839.0","812.85M","-0.99%"
"Apr 13, 2021","13,996.1","13,902.4","14,011.5","13,902.4","839.45M","1.05%"
"Apr 12, 2021","13,850.0","13,854.4","13,877.0","13,783.9","894.01M","-0.36%"
"Apr 09, 2021","13,900.2","13,787.0","13,905.4","13,748.3","785.76M","0.51%"
"Apr 08, 2021","13,829.3","13,796.9","13,830.1","13,758.7","870.92M","1.03%"
"Apr 07, 2021","13,688.8","13,675.3","13,733.0","13,653.6","819.48M","-0.07%"
"Apr 06, 2021","13,698.4","13,681.7","13,776.7","13,674.3","870.63M","-0.05%"
"Apr 05, 2021","13,705.6","13,594.9","13,720.6","13,582.8","916.61M","1.67%"
"Apr 01, 2021","13,480.1","13,414.3","13,487.1","13,404.2","939.16M","1.76%"
"Mar 31, 2021","13,246.9","13,122.6","13,325.5","13,118.4","1.21B","1.54%"
"Mar 30, 2021","13,045.4","13,008.8","13,075.8","12,922.6","983.51M","-0.11%"
"Mar 29, 2021","13,059.6","13,104.0","13,143.4","12,968.2","1.06B","-0.60%"
"Mar 26, 2021","13,138.7","12,996.0","13,149.6","12,878.7","1.14B","1.24%"
"Mar 25, 2021","12,977.7","12,844.6","13,021.9","12,786.8","1.17B","0.12%"
"Mar 24, 2021","12,961.9","13,289.2","13,292.9","12,961.4","1.19B","-2.01%"
"Mar 23, 2021","13,227.7","13,381.4","13,405.1","13,202.4","1.19B","-1.12%"
"Mar 22, 2021","13,377.5","13,278.8","13,455.6","13,278.8","1.11B","1.23%"
"Mar 19, 2021","13,215.2","13,119.9","13,252.4","13,039.5","2.93B","0.76%"
"Mar 18, 2021","13,116.2","13,349.2","13,384.5","13,101.9","1.22B","-3.02%"
"Mar 17, 2021","13,525.2","13,336.9","13,595.0","13,272.7","1.18B","0.40%"
"Mar 16, 2021","13,471.6","13,523.2","13,620.7","13,397.1","1.10B","0.09%"
"Mar 15, 2021","13,459.7","13,323.5","13,460.3","13,272.5","1.13B","1.05%"
"Mar 12, 2021","13,319.9","13,222.8","13,324.7","13,158.7","1.09B","-0.59%"
"Mar 11, 2021","13,398.7","13,273.3","13,433.6","13,246.3","1.19B","2.52%"
