"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2021","4,522.68","4,529.75","4,531.39","4,515.80","-","-0.13%"
"Aug 30, 2021","4,528.79","4,513.76","4,537.36","4,513.76","-","0.43%"
"Aug 27, 2021","4,509.37","4,474.10","4,513.33","4,474.10","-","0.88%"
"Aug 26, 2021","4,469.91","4,493.75","4,495.90","4,468.99","-","-0.58%"
"Aug 25, 2021","4,496.19","4,490.45","4,501.71","4,485.66","-","0.22%"
"Aug 24, 2021","4,486.23","4,484.40","4,492.81","4,482.28","-","0.15%"
"Aug 23, 2021","4,479.54","4,450.29","4,489.88","4,450.29","-","0.85%"
"Aug 20, 2021","4,441.67","4,410.56","4,444.35","4,406.80","-","0.81%"
"Aug 19, 2021","4,405.80","4,382.44","4,418.61","4,367.73","-","0.13%"
"Aug 18, 2021","4,400.27","4,440.94","4,454.32","4,397.59","-","-1.07%"
"Aug 17, 2021","4,448.08","4,462.12","4,462.12","4,417.83","-","-0.70%"
"Aug 16, 2021","4,479.66","4,461.65","4,480.26","4,437.66","-","0.26%"
"Aug 13, 2021","4,468.00","4,464.84","4,468.37","4,460.82","-","0.16%"
"Aug 12, 2021","4,460.84","4,446.08","4,461.77","4,435.96","-","0.30%"
"Aug 11, 2021","4,447.70","4,442.18","4,449.44","4,436.42","-","0.25%"
"Aug 10, 2021","4,436.75","4,435.79","4,445.21","4,430.03","-","0.10%"
"Aug 09, 2021","4,432.35","4,437.77","4,439.39","4,424.74","-","-0.09%"
"Aug 06, 2021","4,436.52","4,429.07","4,440.82","4,429.07","-","0.17%"
"Aug 05, 2021","4,429.10","4,408.86","4,429.76","4,408.86","-","0.60%"
"Aug 04, 2021","4,402.68","4,415.95","4,416.17","4,400.23","-","-0.46%"
"Aug 03, 2021","4,423.15","4,392.74","4,423.79","4,373.00","-","0.82%"
"Aug 02, 2021","4,387.11","4,406.86","4,422.18","4,384.81","-","-0.19%"
"Jul 30, 2021","4,395.26","4,395.12","4,412.25","4,389.65","-","-0.54%"
"Jul 29, 2021","4,419.15","4,403.59","4,429.97","4,403.59","-","0.42%"
"Jul 28, 2021","4,400.65","4,402.95","4,415.47","4,387.01","-","-0.02%"
"Jul 27, 2021","4,401.46","4,416.38","4,416.38","4,372.51","-","-0.47%"
"Jul 26, 2021","4,422.23","4,409.58","4,422.73","4,405.45","-","0.24%"
"Jul 23, 2021","4,411.80","4,381.20","4,415.18","4,381.20","-","1.01%"
"Jul 22, 2021","4,367.48","4,361.27","4,369.31","4,350.06","-","0.20%"
"Jul 21, 2021","4,358.69","4,331.13","4,359.70","4,331.13","-","0.82%"
"Jul 20, 2021","4,323.21","4,265.11","4,336.84","4,262.05","-","1.52%"
"Jul 19, 2021","4,258.63","4,296.40","4,296.40","4,233.13","-","-1.58%"
"Jul 16, 2021","4,327.16","4,367.43","4,375.09","4,322.53","-","-0.75%"
"Jul 15, 2021","4,360.03","4,369.02","4,369.02","4,340.70","-","-0.33%"
"Jul 14, 2021","4,374.30","4,380.11","4,393.68","4,362.36","-","0.12%"
"Jul 13, 2021","4,369.21","4,381.07","4,392.37","4,366.92","-","-0.35%"
"Jul 12, 2021","4,384.63","4,372.41","4,386.68","4,364.03","-","0.35%"
"Jul 09, 2021","4,369.55","4,329.38","4,371.60","4,329.38","-","1.13%"
"Jul 08, 2021","4,320.82","4,321.07","4,330.88","4,289.37","-","-0.86%"
"Jul 07, 2021","4,358.13","4,351.01","4,361.88","4,329.79","-","0.34%"
"Jul 06, 2021","4,343.54","4,356.46","4,356.46","4,314.37","-","-0.20%"
"Jul 02, 2021","4,352.34","4,326.60","4,355.43","4,326.60","-","0.75%"
"Jul 01, 2021","4,319.94","4,300.73","4,320.66","4,300.73","-","0.52%"
"Jun 30, 2021","4,297.50","4,290.65","4,302.43","4,287.96","-","0.13%"
"Jun 29, 2021","4,291.80","4,293.21","4,300.52","4,287.04","-","0.03%"
"Jun 28, 2021","4,290.61","4,284.90","4,292.14","4,274.67","-","0.23%"
"Jun 25, 2021","4,280.70","4,274.45","4,286.12","4,271.16","-","0.33%"
"Jun 24, 2021","4,266.49","4,256.97","4,271.28","4,256.97","-","0.58%"
"Jun 23, 2021","4,241.84","4,249.27","4,256.60","4,241.43","-","-0.11%"
"Jun 22, 2021","4,246.44","4,224.61","4,255.84","4,217.27","-","0.51%"
"Jun 21, 2021","4,224.79","4,173.40","4,226.24","4,173.40","-","1.40%"
"Jun 18, 2021","4,166.45","4,204.78","4,204.78","4,164.40","-","-1.31%"
"Jun 17, 2021","4,221.86","4,220.37","4,232.29","4,196.05","-","-0.04%"
"Jun 16, 2021","4,223.70","4,248.87","4,251.89","4,202.45","-","-0.54%"
"Jun 15, 2021","4,246.59","4,255.28","4,257.16","4,238.35","-","-0.20%"
"Jun 14, 2021","4,255.15","4,248.31","4,255.59","4,234.07","-","0.18%"
"Jun 11, 2021","4,247.44","4,242.90","4,248.38","4,232.25","-","0.19%"
"Jun 10, 2021","4,239.18","4,228.56","4,249.74","4,220.34","-","0.47%"
"Jun 09, 2021","4,219.55","4,232.99","4,237.09","4,218.74","-","-0.18%"
"Jun 08, 2021","4,227.26","4,233.81","4,236.74","4,208.41","-","0.02%"
"Jun 07, 2021","4,226.52","4,229.34","4,232.34","4,215.66","-","-0.08%"
