"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2021","2,273.77","2,266.28","2,277.19","2,260.43","-","0.34%"
"Aug 30, 2021","2,265.99","2,278.45","2,286.36","2,264.30","-","-0.49%"
"Aug 27, 2021","2,277.15","2,213.79","2,281.84","2,213.79","-","2.85%"
"Aug 26, 2021","2,213.98","2,239.20","2,244.44","2,212.21","-","-1.13%"
"Aug 25, 2021","2,239.27","2,230.73","2,252.14","2,226.64","-","0.37%"
"Aug 24, 2021","2,230.91","2,208.80","2,232.00","2,208.80","-","1.02%"
"Aug 23, 2021","2,208.30","2,169.11","2,211.12","2,169.11","-","1.88%"
"Aug 20, 2021","2,167.60","2,131.80","2,169.65","2,127.32","-","1.65%"
"Aug 19, 2021","2,132.42","2,157.04","2,157.04","2,122.24","-","-1.22%"
"Aug 18, 2021","2,158.78","2,177.13","2,192.16","2,157.97","-","-0.84%"
"Aug 17, 2021","2,177.17","2,201.65","2,201.65","2,152.49","-","-1.19%"
"Aug 16, 2021","2,203.41","2,222.03","2,222.03","2,192.28","-","-0.89%"
"Aug 13, 2021","2,223.11","2,244.20","2,244.20","2,221.31","-","-0.93%"
"Aug 12, 2021","2,244.07","2,250.19","2,250.63","2,232.71","-","-0.28%"
"Aug 11, 2021","2,250.34","2,240.11","2,250.37","2,221.68","-","0.49%"
"Aug 10, 2021","2,239.36","2,236.09","2,245.03","2,230.03","-","0.20%"
"Aug 09, 2021","2,234.81","2,247.43","2,247.43","2,231.48","-","-0.58%"
"Aug 06, 2021","2,247.76","2,237.09","2,258.32","2,235.58","-","0.53%"
"Aug 05, 2021","2,236.01","2,198.16","2,236.19","2,198.16","-","1.81%"
"Aug 04, 2021","2,196.32","2,220.67","2,223.10","2,195.37","-","-1.23%"
"Aug 03, 2021","2,223.58","2,216.25","2,223.60","2,189.76","-","0.36%"
"Aug 02, 2021","2,215.50","2,228.03","2,256.44","2,212.45","-","-0.48%"
"Jul 30, 2021","2,226.25","2,238.90","2,251.37","2,219.95","-","-0.62%"
"Jul 29, 2021","2,240.03","2,193.16","2,256.97","2,190.66","-","0.68%"
"Jul 28, 2021","2,224.96","2,193.16","2,237.04","2,190.66","-","1.51%"
"Jul 27, 2021","2,191.83","2,215.64","2,215.64","2,171.37","-","-1.13%"
"Jul 26, 2021","2,216.92","2,210.11","2,232.22","2,207.54","-","0.33%"
"Jul 23, 2021","2,209.65","2,201.03","2,212.31","2,186.51","-","0.46%"
"Jul 22, 2021","2,199.48","2,233.78","2,233.78","2,192.98","-","-1.55%"
"Jul 21, 2021","2,234.04","2,195.75","2,236.94","2,195.75","-","1.81%"
"Jul 20, 2021","2,194.30","2,131.79","2,206.63","2,131.79","-","2.99%"
"Jul 19, 2021","2,130.68","2,159.71","2,159.71","2,107.07","-","-1.51%"
"Jul 16, 2021","2,163.24","2,191.87","2,210.50","2,160.53","-","-1.24%"
"Jul 15, 2021","2,190.29","2,201.27","2,202.75","2,166.33","-","-0.55%"
"Jul 14, 2021","2,202.36","2,240.25","2,254.81","2,201.23","-","-1.63%"
"Jul 13, 2021","2,238.86","2,280.49","2,280.49","2,238.37","-","-1.88%"
"Jul 12, 2021","2,281.82","2,279.63","2,283.46","2,262.26","-","0.08%"
"Jul 09, 2021","2,280.00","2,234.83","2,280.01","2,234.83","-","2.17%"
"Jul 08, 2021","2,231.68","2,249.94","2,252.72","2,192.98","-","-0.94%"
"Jul 07, 2021","2,252.85","2,274.53","2,278.10","2,235.50","-","-0.95%"
"Jul 06, 2021","2,274.50","2,305.96","2,306.91","2,256.97","-","-1.42%"
"Jul 05, 2021","2,307.20","2,307.60","2,309.95","2,305.70","-","0.06%"
"Jul 02, 2021","2,305.76","2,328.53","2,332.95","2,302.94","-","-1.01%"
"Jul 01, 2021","2,329.36","2,312.57","2,332.28","2,312.57","-","0.81%"
"Jun 30, 2021","2,310.55","2,307.95","2,317.30","2,295.43","-","0.07%"
"Jun 29, 2021","2,308.84","2,323.07","2,332.28","2,305.92","-","-0.58%"
