"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 22, 2021","169.75","177.61","179.46","169.67","1.42M","-6.58%"
"Oct 21, 2021","181.71","184.71","190.70","180.60","2.34M","-1.52%"
"Oct 20, 2021","184.52","186.33","188.00","181.98","2.23M","-1.22%"
"Oct 19, 2021","186.79","188.99","192.18","184.40","2.07M","0.41%"
"Oct 18, 2021","186.02","182.94","189.87","182.55","1.57M","1.49%"
"Oct 15, 2021","183.28","184.00","186.98","180.88","1.20M","-0.30%"
"Oct 14, 2021","183.83","183.76","190.20","182.60","1.67M","-0.12%"
"Oct 13, 2021","184.06","178.30","188.21","176.00","1.92M","4.69%"
"Oct 12, 2021","175.82","180.50","181.78","173.80","1.23M","-1.28%"
"Oct 11, 2021","178.10","173.00","188.49","173.00","2.67M","3.14%"
"Oct 08, 2021","172.68","172.50","175.72","171.12","818.21K","0.33%"
"Oct 07, 2021","172.12","172.00","175.20","170.54","1.15M","0.61%"
"Oct 06, 2021","171.07","170.06","172.96","165.81","1.20M","-0.64%"
"Oct 05, 2021","172.18","171.19","173.17","166.70","1.31M","0.48%"
"Oct 04, 2021","171.36","175.95","176.95","170.77","1.19M","-3.14%"
"Oct 01, 2021","176.91","179.40","179.49","172.25","1.55M","0.82%"
"Sep 30, 2021","175.47","175.00","185.45","166.79","3.16M","-0.26%"
"Sep 29, 2021","175.92","180.09","184.48","174.61","1.88M","-1.50%"
"Sep 28, 2021","178.60","188.00","190.81","178.00","1.76M","-5.74%"
"Sep 27, 2021","189.48","185.92","192.05","185.87","1.46M","2.33%"
"Sep 24, 2021","185.16","191.00","191.72","184.11","1.69M","-3.18%"
"Sep 23, 2021","191.24","192.33","195.75","190.60","1.66M","0.58%"
"Sep 22, 2021","190.14","189.64","193.50","186.29","2.26M","0.10%"
"Sep 21, 2021","189.95","199.36","199.36","186.00","2.45M","-1.17%"
"Sep 20, 2021","192.20","200.00","202.85","184.55","3.90M","-6.23%"
"Sep 17, 2021","204.97","208.02","212.49","200.78","3.95M","-0.68%"
"Sep 16, 2021","206.37","202.33","216.55","201.15","3.04M","0.90%"
"Sep 15, 2021","204.52","197.00","204.87","193.75","2.29M","2.65%"
"Sep 14, 2021","199.24","200.65","204.62","195.00","2.13M","-2.05%"
"Sep 13, 2021","203.40","193.75","208.88","191.50","4.30M","6.82%"
"Sep 10, 2021","190.41","198.41","202.16","190.00","3.04M","-4.40%"
"Sep 09, 2021","199.18","180.09","202.00","178.00","7.48M","0.19%"
"Sep 08, 2021","198.80","201.86","206.88","190.68","4.56M","-0.10%"
"Sep 07, 2021","199.00","206.25","209.90","196.10","2.47M","-1.85%"
"Sep 03, 2021","202.75","212.05","216.27","198.84","2.66M","-5.04%"
"Sep 02, 2021","213.52","213.86","214.80","206.30","1.84M","0.26%"
"Sep 01, 2021","212.97","224.00","231.44","208.02","4.45M","-2.41%"
"Aug 31, 2021","218.24","212.70","222.30","211.46","3.53M","4.32%"
"Aug 30, 2021","209.20","205.00","218.19","203.02","3.29M","2.07%"
"Aug 27, 2021","204.95","207.70","213.00","200.02","3.23M","-0.13%"
"Aug 26, 2021","205.22","200.68","217.00","199.00","6.21M","2.79%"
"Aug 25, 2021","199.65","206.65","227.00","193.00","12.82M","-5.06%"
"Aug 24, 2021","210.29","166.29","225.00","165.15","14.41M","27.53%"
"Aug 23, 2021","164.89","162.38","167.29","159.55","1.30M","3.51%"
"Aug 20, 2021","159.30","153.80","160.09","153.24","1.15M","4.19%"
"Aug 19, 2021","152.90","156.77","157.99","150.78","1.19M","-2.64%"
"Aug 18, 2021","157.05","163.25","165.60","156.75","1.40M","-3.97%"
"Aug 17, 2021","163.55","161.19","169.48","161.10","1.21M","-0.23%"
"Aug 16, 2021","163.93","161.00","169.88","159.16","1.57M","0.87%"
"Aug 13, 2021","162.52","160.47","163.55","157.41","1.01M","0.10%"
"Aug 12, 2021","162.35","159.88","164.28","157.33","1.29M","2.25%"
"Aug 11, 2021","158.78","158.43","159.05","154.62","935.70K","-0.17%"
"Aug 10, 2021","159.05","163.07","166.70","155.61","1.62M","-1.29%"
"Aug 09, 2021","161.13","151.80","164.62","150.75","2.25M","6.17%"
"Aug 06, 2021","151.77","154.59","156.50","150.31","1.35M","-1.09%"
"Aug 05, 2021","153.44","148.00","157.60","145.22","2.40M","4.52%"
"Aug 04, 2021","146.80","152.61","157.55","145.85","2.39M","-3.90%"
"Aug 03, 2021","152.75","156.13","158.73","148.25","14.45M","-3.11%"
"Aug 02, 2021","157.65","162.30","163.51","155.10","2.53M","-2.15%"
"Jul 30, 2021","161.12","165.00","167.22","158.87","2.38M","-2.27%"
"Jul 29, 2021","164.86","170.18","173.52","164.65","2.24M","-2.52%"
"Jul 28, 2021","169.12","175.75","176.97","164.69","4.10M","-5.28%"
"Jul 27, 2021","178.54","182.91","184.66","176.80","1.21M","-2.94%"
"Jul 26, 2021","183.94","179.35","186.04","178.76","1.26M","1.98%"
"Jul 23, 2021","180.36","181.00","181.60","173.84","1.32M","0.84%"
"Jul 22, 2021","178.85","185.30","187.69","176.15","1.41M","-3.75%"
"Jul 21, 2021","185.81","187.79","195.51","182.11","2.23M","-2.81%"
"Jul 20, 2021","191.18","173.90","193.64","172.42","3.10M","10.20%"
"Jul 19, 2021","173.49","163.30","176.00","161.22","2.44M","2.63%"
"Jul 16, 2021","169.04","170.15","179.47","166.30","3.29M","1.33%"
"Jul 15, 2021","166.82","160.03","171.26","158.29","4.30M","-0.48%"
"Jul 14, 2021","167.62","181.00","182.28","165.10","3.91M","-6.91%"
"Jul 13, 2021","180.06","187.55","188.00","179.00","2.40M","-4.86%"
"Jul 12, 2021","189.25","191.50","197.50","187.49","1.64M","-1.04%"
"Jul 09, 2021","191.23","190.88","194.78","186.75","1.58M","-0.08%"
"Jul 08, 2021","191.38","180.02","194.10","179.80","2.86M","0.38%"
"Jul 07, 2021","190.66","195.64","197.05","177.77","4.24M","-4.46%"
"Jul 06, 2021","199.56","203.32","204.00","193.77","2.77M","-1.61%"
"Jul 02, 2021","202.83","204.80","205.45","196.50","2.60M","-0.75%"
"Jul 01, 2021","204.36","213.97","216.50","202.00","2.74M","-4.57%"
"Jun 30, 2021","214.14","209.76","215.20","207.00","2.54M","1.55%"
"Jun 29, 2021","210.88","213.84","215.00","208.09","2.48M","-1.11%"
"Jun 28, 2021","213.25","211.45","224.45","210.42","4.88M","1.79%"
"Jun 25, 2021","209.51","214.00","214.20","198.50","12.69M","-1.32%"
"Jun 24, 2021","212.31","220.03","227.45","211.70","3.86M","-3.21%"
"Jun 23, 2021","219.34","221.09","222.49","214.19","3.56M","-0.48%"
"Jun 22, 2021","220.40","216.75","225.00","209.30","8.20M","10.00%"
"Jun 21, 2021","200.37","216.95","218.40","197.00","5.12M","-6.29%"
"Jun 18, 2021","213.82","220.18","223.49","213.00","4.32M","-4.37%"
"Jun 17, 2021","223.59","224.00","233.42","221.96","4.61M","0.28%"
"Jun 16, 2021","222.97","215.01","228.51","209.08","5.56M","0.21%"
"Jun 15, 2021","222.50","226.00","229.25","209.40","7.30M","-3.02%"
"Jun 14, 2021","229.44","236.50","238.01","219.20","7.13M","-1.67%"
"Jun 11, 2021","233.34","222.35","241.13","206.13","15.58M","5.88%"
"Jun 10, 2021","220.39","282.00","288.00","211.00","22.98M","-27.16%"
"Jun 09, 2021","302.56","303.12","328.00","291.51","13.43M","0.85%"
"Jun 08, 2021","300.00","292.00","344.66","281.00","17.44M","7.14%"
"Jun 07, 2021","280.01","258.00","282.00","255.20","6.05M","12.74%"
"Jun 04, 2021","248.36","256.02","265.00","245.77","3.64M","-3.80%"
"Jun 03, 2021","258.18","265.71","274.43","242.12","8.00M","-8.52%"
"Jun 02, 2021","282.24","248.88","294.00","244.30","16.02M","13.34%"
"Jun 01, 2021","249.02","233.48","254.98","227.07","9.63M","12.17%"
"May 28, 2021","222.00","262.97","268.80","221.43","11.75M","-12.64%"
"May 27, 2021","254.13","229.80","264.00","227.00","15.53M","4.77%"
