Date,Clov Price,BB Price,AMC Price,GME Price
2021-01-04,15.61,6.58,2.01,17.25
2021-01-05,15.09,6.77,1.98,17.37
2021-01-06,14.53,6.71,2.01,18.36
2021-01-07,16.02,7.06,2.05,18.08
2021-01-08,15.9,7.56,2.14,17.69
2021-01-11,14.98,7.65,2.2,19.94
2021-01-12,14.62,7.63,2.29,19.95
2021-01-13,14.0,7.44,2.18,31.4
2021-01-14,14.01,9.11,2.18,39.91
2021-01-15,13.24,9.84,2.33,35.5
2021-01-19,13.75,12.35,3.06,39.36
2021-01-20,13.73,12.79,2.97,39.12
2021-01-21,13.59,12.85,2.98,43.03
2021-01-22,13.55,14.04,3.51,65.01
2021-01-25,13.93,18.03,4.42,76.79
2021-01-26,15.76,18.92,4.96,147.98
2021-01-27,14.25,25.1,19.9,347.51
2021-01-28,14.07,14.65,8.63,193.6
2021-01-29,13.95,14.1,13.26,325.0
2021-02-01,13.81,14.63,13.3,225.0
2021-02-02,13.97,11.55,7.82,90.0
2021-02-03,13.95,12.0,8.97,92.41
2021-02-04,12.23,12.15,7.09,53.5
2021-02-05,12.93,13.23,6.83,63.77
2021-02-08,12.37,13.76,6.18,60.0
2021-02-09,13.16,13.43,5.5,50.31
2021-02-10,12.5,13.1,5.8,51.2
2021-02-11,12.01,12.46,5.61,51.1
2021-02-12,12.08,13.04,5.59,52.4
2021-02-16,11.49,12.21,5.65,49.51
2021-02-17,11.32,11.32,5.55,45.94
2021-02-18,10.83,10.94,5.51,40.69
2021-02-19,10.98,10.9,5.7,40.59
2021-02-22,11.08,10.68,6.55,46.0
2021-02-23,10.13,10.4,7.7,44.97
2021-02-24,10.34,11.32,9.09,91.71
2021-02-25,9.71,10.58,8.29,108.73
2021-02-26,9.4,10.05,8.01,101.74
2021-03-01,10.37,10.91,9.18,120.4
2021-03-02,9.04,10.5,8.93,118.18
2021-03-03,8.29,10.15,8.58,124.18
2021-03-04,7.29,9.84,8.03,132.35
2021-03-05,7.84,9.45,8.05,137.74
