Date,Clov Price,BB Price,AMC Price,GME Price,count_title,average_title,count_body,average_body
2021-01-28,14.07,14.65,8.63,193.6,1192,-0.007050838926174490,684,0.04907295321637430
2021-01-29,13.95,14.1,13.26,325.0,15653,-0.01441125023957070,9034,0.005163759132167370
2021-02-01,13.81,14.63,13.3,225.0,880,0.03755306818181820,319,0.3798492163009400
2021-02-02,13.97,11.55,7.82,90.0,1488,0.028819220430107500,351,0.22008689458689500
2021-02-03,13.95,12.0,8.97,92.41,2626,0.03151968773800460,675,0.23204074074074100
2021-02-04,12.23,12.15,7.09,53.5,1665,0.049774594594594600,858,0.189706993006993
2021-02-05,12.93,13.23,6.83,63.77,2585,0.030021315280464200,1659,0.1275877034358050
2021-02-08,12.37,13.76,6.18,60.0,284,0.09952711267605630,127,0.3466543307086610
2021-02-09,13.16,13.43,5.5,50.31,148,0.085225,110,0.4156490909090910
2021-02-10,12.5,13.1,5.8,51.2,222,0.018625225225225200,164,0.4051091463414630
2021-02-11,12.01,12.46,5.61,51.1,168,0.07488035714285720,125,0.5820704000000000
2021-02-12,12.08,13.04,5.59,52.4,179,0.06186703910614520,143,0.4391818181818180
2021-02-16,11.49,12.21,5.65,49.51,90,0.14274777777777800,68,0.5936529411764710
2021-02-17,11.32,11.32,5.55,45.94,171,0.08063859649122810,88,0.5312875000000000
2021-02-18,10.83,10.94,5.51,40.69,245,0.07052408163265310,82,0.596420731707317
2021-02-19,10.98,10.9,5.7,40.59,346,0.08084971098265900,108,0.40916388888888900
2021-02-22,11.08,10.68,6.55,46.0,139,0.059445323741007200,50,0.4800000000000000
2021-02-23,10.13,10.4,7.7,44.97,267,0.07594194756554310,83,0.4955530120481930
2021-02-24,10.34,11.32,9.09,91.71,240,0.06555875000000000,75,0.5422453333333330
2021-02-25,9.71,10.58,8.29,108.73,542,0.07746457564575650,117,0.3889521367521370
2021-02-26,9.4,10.05,8.01,101.74,561,0.0986524064171123,141,0.4679234042553190
2021-03-01,10.37,10.91,9.18,120.4,133,0.08992406015037600,72,0.5936083333333330
2021-03-02,9.04,10.5,8.93,118.18,358,0.10223100558659200,114,0.5131078947368420
2021-03-03,8.29,10.15,8.58,124.18,589,0.13069405772495800,165,0.4648145454545450
2021-03-04,7.29,9.84,8.03,132.35,474,0.07293037974683540,204,0.5830034313725490
2021-03-05,7.84,9.45,8.05,137.74,427,0.058528337236534000,162,0.4810790123456790
